23067.77100000,23068.18300000,23069.60700000,23071.49900000,23073.77700000,23073.92000000,23074.10300000,23074.26300000,23075.88600000,23076.93700000,23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000:23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000
23069.60700000,23071.49900000,23073.77700000,23073.92000000,23074.10300000,23074.26300000,23075.88600000,23076.93700000,23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000:23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000
23073.77700000,23073.92000000,23074.10300000,23074.26300000,23075.88600000,23076.93700000,23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000:23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000
23074.10300000,23074.26300000,23075.88600000,23076.93700000,23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000:23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000
23075.88600000,23076.93700000,23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000:23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000
23080.36500000,23085.48700000,23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000:23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000
23090.47200000,23093.77200000,23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000:23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000
23097.32200000,23101.37000000,23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000:23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000
23105.60700000,23109.18400000,23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000:23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000
23112.96000000,23115.95700000,23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000:23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000
23119.11300000,23120.84900000,23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000:23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000
23122.94200000,23128.53900000,23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000:23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000
23130.68100000,23135.06100000,23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000:23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000
23138.73500000,23142.68600000,23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000:23158.49500000,23157.23900000,23157.07800000,23156.59300000,23154.91700000
23143.56800000,23145.11900000,23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000:23157.07800000,23156.59300000,23154.91700000,23152.29500000,23150.81300000
23145.40400000,23144.88500000,23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000,23156.59300000:23154.91700000,23152.29500000,23150.81300000,23148.76700000,23147.26300000
23143.99900000,23141.72200000,23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000,23156.59300000,23154.91700000,23152.29500000:23150.81300000,23148.76700000,23147.26300000,23145.87700000,23144.64700000
23142.56000000,23141.20300000,23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000,23156.59300000,23154.91700000,23152.29500000,23150.81300000,23148.76700000:23147.26300000,23145.87700000,23144.64700000,23143.90400000,23141.02100000
23138.40200000,23136.31900000,23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000,23156.59300000,23154.91700000,23152.29500000,23150.81300000,23148.76700000,23147.26300000,23145.87700000:23144.64700000,23143.90400000,23141.02100000,23138.76200000,23136.40600000
23136.66600000,23136.90200000,23138.78100000,23141.57100000,23143.31700000,23144.48800000,23144.71600000,23147.13700000,23150.31900000,23152.34200000,23153.29500000,23154.98600000,23154.87200000,23154.39800000,23154.29100000,23153.62300000,23152.17600000,23149.65400000,23149.53900000,23149.46100000,23150.52400000,23151.32000000,23150.80300000,23149.97500000,23149.53500000,23148.74300000,23148.93500000,23148.10800000,23146.17800000,23144.46100000,23143.49600000,23142.56100000,23142.54700000,23142.29300000,23141.55600000,23141.67900000,23142.52700000,23143.90000000,23144.53400000,23145.78500000,23146.09900000,23146.53400000,23148.42900000,23150.91000000,23153.42000000,23155.68100000,23157.47800000,23157.87900000,23158.49500000,23157.23900000,23157.07800000,23156.59300000,23154.91700000,23152.29500000,23150.81300000,23148.76700000,23147.26300000,23145.87700000,23144.64700000,23143.90400000:23141.02100000,23138.76200000,23136.40600000,23134.18800000,23131.91100000
